mcc,mnc,mnc3,organization_name,tadig,name,alpha3
293,40,40,"A1 Slovenija, d.d.",SVNSM,Slovenia,SVN
232,01,01,A1 Telekom Austria AG,AUTMK,Austria,AUT
232,01,01,A1 Telekom Austria AG,AUTON,Austria,AUT
232,01,01,A1 Telekom Austria AG,AUTPT,Austria,AUT
901,45,45,Advanced Wireless Network Company Limited,THAWN,Thailand,THA
520,03,03,Advanced Wireless Network Company Limited,THAWN,Thailand,THA
520,01,01,Advanced Wireless Network Company Limited,THAWN,Thailand,THA
310,88,880,Advantage Cellular Systems Inc,USAAC,United States of America,USA
901,14,14,AeroMobile AS,NORAM,Norway,NOR
412,01,01,Afghan Wireless Communication Company,AFGAW,Afghanistan,AFG
607,02,02,Africell (Gambia) Limited,GMBAC,Gambia,GMB
630,90,90,Africell RDC sprl,CODAC,Congo (Democratic Republic of the),COD
641,14,14,Africell Uganda Limited,UGAOR,Uganda,UGA
405,81,812,Aircel Limited,IND01,India,IND
405,81,812,Aircel Limited,IND02,India,IND
405,81,812,Aircel Limited,IND03,India,IND
405,81,812,Aircel Limited,IND04,India,IND
405,81,812,Aircel Limited,IND05,India,IND
405,81,812,Aircel Limited,IND06,India,IND
405,81,812,Aircel Limited,IND08,India,IND
405,81,812,Aircel Limited,IND09,India,IND
405,81,812,Aircel Limited,IND17,India,IND
405,81,812,Aircel Limited,IND18,India,IND
405,81,812,Aircel Limited,IND19,India,IND
405,81,812,Aircel Limited,IND20,India,IND
405,81,812,Aircel Limited,IND21,India,IND
405,81,812,Aircel Limited,IND22,India,IND
405,81,812,Aircel Limited,IND23,India,IND
405,81,812,Aircel Limited,IND24,India,IND
405,81,812,Aircel Limited,IND25,India,IND
405,81,812,Aircel Limited,IND26,India,IND
405,81,812,Aircel Limited,IND27,India,IND
405,81,812,Aircel Limited,IND28,India,IND
405,81,812,Aircel Limited,IND29,India,IND
405,81,812,Aircel Limited,INDAC,India,IND
405,81,812,Aircel Limited,INDRC,India,IND
405,81,811,Aircel Limited,IND01,India,IND
405,81,811,Aircel Limited,IND02,India,IND
405,81,811,Aircel Limited,IND03,India,IND
405,81,811,Aircel Limited,IND04,India,IND
405,81,811,Aircel Limited,IND05,India,IND
405,81,811,Aircel Limited,IND06,India,IND
405,81,811,Aircel Limited,IND08,India,IND
405,81,811,Aircel Limited,IND09,India,IND
405,81,811,Aircel Limited,IND17,India,IND
405,81,811,Aircel Limited,IND18,India,IND
405,81,811,Aircel Limited,IND19,India,IND
405,81,811,Aircel Limited,IND20,India,IND
405,81,811,Aircel Limited,IND21,India,IND
405,81,811,Aircel Limited,IND22,India,IND
405,81,811,Aircel Limited,IND23,India,IND
405,81,811,Aircel Limited,IND24,India,IND
405,81,811,Aircel Limited,IND25,India,IND
405,81,811,Aircel Limited,IND26,India,IND
405,81,811,Aircel Limited,IND27,India,IND
405,81,811,Aircel Limited,IND28,India,IND
405,81,811,Aircel Limited,IND29,India,IND
405,81,811,Aircel Limited,INDAC,India,IND
405,81,811,Aircel Limited,INDRC,India,IND
405,81,810,Aircel Limited,IND01,India,IND
405,81,810,Aircel Limited,IND02,India,IND
405,81,810,Aircel Limited,IND03,India,IND
405,81,810,Aircel Limited,IND04,India,IND
405,81,810,Aircel Limited,IND05,India,IND
405,81,810,Aircel Limited,IND06,India,IND
405,81,810,Aircel Limited,IND08,India,IND
405,81,810,Aircel Limited,IND09,India,IND
405,81,810,Aircel Limited,IND17,India,IND
405,81,810,Aircel Limited,IND18,India,IND
405,81,810,Aircel Limited,IND19,India,IND
405,81,810,Aircel Limited,IND20,India,IND
405,81,810,Aircel Limited,IND21,India,IND
405,81,810,Aircel Limited,IND22,India,IND
405,81,810,Aircel Limited,IND23,India,IND
405,81,810,Aircel Limited,IND24,India,IND
405,81,810,Aircel Limited,IND25,India,IND
405,81,810,Aircel Limited,IND26,India,IND
405,81,810,Aircel Limited,IND27,India,IND
405,81,810,Aircel Limited,IND28,India,IND
405,81,810,Aircel Limited,IND29,India,IND
405,81,810,Aircel Limited,INDAC,India,IND
405,81,810,Aircel Limited,INDRC,India,IND
405,80,809,Aircel Limited,IND01,India,IND
405,80,809,Aircel Limited,IND02,India,IND
405,80,809,Aircel Limited,IND03,India,IND
405,80,809,Aircel Limited,IND04,India,IND
405,80,809,Aircel Limited,IND05,India,IND
405,80,809,Aircel Limited,IND06,India,IND
405,80,809,Aircel Limited,IND08,India,IND
405,80,809,Aircel Limited,IND09,India,IND
405,80,809,Aircel Limited,IND17,India,IND
405,80,809,Aircel Limited,IND18,India,IND
405,80,809,Aircel Limited,IND19,India,IND
405,80,809,Aircel Limited,IND20,India,IND
405,80,809,Aircel Limited,IND21,India,IND
405,80,809,Aircel Limited,IND22,India,IND
405,80,809,Aircel Limited,IND23,India,IND
405,80,809,Aircel Limited,IND24,India,IND
405,80,809,Aircel Limited,IND25,India,IND
405,80,809,Aircel Limited,IND26,India,IND
405,80,809,Aircel Limited,IND27,India,IND
405,80,809,Aircel Limited,IND28,India,IND
405,80,809,Aircel Limited,IND29,India,IND
405,80,809,Aircel Limited,INDAC,India,IND
405,80,809,Aircel Limited,INDRC,India,IND
405,80,808,Aircel Limited,IND01,India,IND
405,80,808,Aircel Limited,IND02,India,IND
405,80,808,Aircel Limited,IND03,India,IND
405,80,808,Aircel Limited,IND04,India,IND
405,80,808,Aircel Limited,IND05,India,IND
405,80,808,Aircel Limited,IND06,India,IND
405,80,808,Aircel Limited,IND08,India,IND
405,80,808,Aircel Limited,IND09,India,IND
405,80,808,Aircel Limited,IND17,India,IND
405,80,808,Aircel Limited,IND18,India,IND
405,80,808,Aircel Limited,IND19,India,IND
405,80,808,Aircel Limited,IND20,India,IND
405,80,808,Aircel Limited,IND21,India,IND
405,80,808,Aircel Limited,IND22,India,IND
405,80,808,Aircel Limited,IND23,India,IND
405,80,808,Aircel Limited,IND24,India,IND
405,80,808,Aircel Limited,IND25,India,IND
405,80,808,Aircel Limited,IND26,India,IND
405,80,808,Aircel Limited,IND27,India,IND
405,80,808,Aircel Limited,IND28,India,IND
405,80,808,Aircel Limited,IND29,India,IND
405,80,808,Aircel Limited,INDAC,India,IND
405,80,808,Aircel Limited,INDRC,India,IND
405,80,807,Aircel Limited,IND01,India,IND
405,80,807,Aircel Limited,IND02,India,IND
405,80,807,Aircel Limited,IND03,India,IND
405,80,807,Aircel Limited,IND04,India,IND
405,80,807,Aircel Limited,IND05,India,IND
405,80,807,Aircel Limited,IND06,India,IND
405,80,807,Aircel Limited,IND08,India,IND
405,80,807,Aircel Limited,IND09,India,IND
405,80,807,Aircel Limited,IND17,India,IND
405,80,807,Aircel Limited,IND18,India,IND
